original_address,original___parsed_extra,lat,lon,formatted,housenumber,name,street,district,suburb,postcode,city,confidence_city_level,county,state,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
"PAULER UTCA 15.,"" BUDAPEST"",47.49833314999999,19.031261033478394,""Paulerház, Budapest, Pauler utca 15, 1013, Magyarország"",15,Paulerház,Pauler utca,I. kerület,Krisztinaváros,1013,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MADARÁSZ VIKTOR UTCA 6.,"" BUDAPEST"",47.5445444,19.0738835,""Budapest, Madarász Viktor utca 6, 1131, Magyarország"",6,,Madarász Viktor utca,XIII. kerület,Angyalföld,1131,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BESZÉDES SÉTÁNY 70/D,"" SIÓFOK"",46.92167245,18.084939425981247,""Luxury Spa Conference Hotel, Siófok, Beszédes József sétány 70/d, 8600, Magyarország"",70/d,Luxury Spa Conference Hotel,Beszédes József sétány,,Ipartelep,8600,Siófok,,Somogy vármegye,Dél-Dunántúl,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ESZTER UTCA 7/A.,"" BUDAPEST"",47.516851599999995,19.026238337089374,""Budapest, Eszter utca 7/a, 1022, Magyarország"",7/a,,Eszter utca,II. kerület,Rózsadomb,1022,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MADARÁSZ VIKTOR UTCA 47-49.,"" BUDAPEST"",47.5541936,19.0784844,""Budapest, Madarász Viktor utca 47-49, 1138, Magyarország"",47-49,,Madarász Viktor utca,XIII. kerület,Angyalföld,1138,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FATELEPI ÚT 15.,"" TATABÁNYA"",47.5571973,18.4369151,""Tatabánya, Fatelepi út, 2800, Magyarország"",,Fatelepi út,Fatelepi út,,Óváros,2800,Tatabánya,,Komárom-Esztergom vármegye,Közép-Dunántúl,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"IGLÓI UTCA 15.,"" MISKOLC"",47.48517795,19.038994302141724,""Budapest, Iglói utca 15, 1118, Magyarország"",15,,Iglói utca,XI. kerület,Gellérthegy,1118,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MÁRTON UTCA 12.,"" BUDAPEST"",47.47829375,19.079165375007253,""Budapest, Márton utca 12, 1094, Magyarország"",12,,Márton utca,IX. kerület,Középső-Ferencváros,1094,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FIASTYÚK UTCA 3.,"" ÉRD"",47.210498599999994,16.65793345749718,""Szombathely, Fiastyúk utca 3, 9700, Magyarország"",3,,Fiastyúk utca,,Szentkirály,9700,Szombathely,,Vas vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ÚJHEGYI SÉTÁNY 16.,"" BUDAPEST"",47.4707455,19.1631421,""Újhegyi könyvtár, Budapest, Újhegyi sétány 16, 1108, Magyarország"",16,Újhegyi könyvtár,Újhegyi sétány,X. kerület,Újhegy,1108,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁCI ÚT 96.,"" BUDAPEST"",47.8001218,18.9644556,""Nagymaros, Váci út 96, 2626, Magyarország"",96,,Váci út,Vadkert,,2626,Nagymaros,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ALÍZ UTCA 4.,"" BUDAPEST"",47.4600735,19.0493976,""Budapest, Alíz utca 4, 1117, Magyarország"",4,,Alíz utca,XI. kerület,Kelenföld,1117,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BARTÓK BÉLA UTCA 8-10.,"" KAPOSVÁR"",46.3514475,17.7899068,""Kaposvár, Bartók Béla utca 8-10, 7400, Magyarország"",8-10,,Bartók Béla utca,,Donner,7400,Kaposvár,,Somogy vármegye,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HUNYADI U. - PÉTERFIA U. SAROK,"" DEBRECEN"",,,,,,,,,,,,,,,,,,,,"
"VÁCI U. 1. - DEÁK F. U. 3-5.,"" BUDAPEST"",,,,,,,,,,,,,,,,,,,,"
"VÁCI U. 1. - DEÁK FERENC U. 3-5.,"" BP."",,,,,,,,,,,,,,,,,,,,"
"RÁKÓCZI ÚT 64/B.,"" RAJKA"",48.3178504,21.5659768,""Sárospatak, Rákóczi út, 3950, Magyarország"",,Rákóczi út,Rákóczi út,,Újtelep,3950,Sárospatak,,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZENTHÁROMSÁG TÉR 2-3.,"" KALOCSA"",47.3927697,18.9863813,""Budapest, Szentháromság tér, 1225, Magyarország"",,Szentháromság tér,Szentháromság tér,XXII. kerület,Nagytétény,1225,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"DÓZSA GYÖRGY ÚT 7.,"" ALBERTIRSA"",47.504571150000004,19.088617783638867,""Budapest, Dózsa György út 7, 1146, Magyarország"",7,,Dózsa György út,XIV. kerület,Istvánmező,1146,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"REZGOFU UTCA 1.,"" BUDAPEST"",47.5064802,19.2003867,""Budapest, Rezgőfű utca 1, 1165, Magyarország"",1,,Rezgőfű utca,XVI. kerület,Mátyásföld,1165,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PETOFI S. UTCA 36-40.,"" TOLCSVA"",47.6412131,17.421999218864407,""Enese, Petőfi utca 36, 9143, Magyarország"",36,,Petőfi utca,,,9143,Enese,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"O. KÖZFORG. KIKÖTO HRSZ.: 098/2,"" GÖNYU"",48.018486,20.836652,""Hrsz. 767, Magyarország"",,,Hrsz. 767,,,,,,,,,Magyarország,hu,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ECSED UTCA 13.,"" BUDAPEST"",47.470502,19.0396523,""Budapest, Ecsed utca 13, 1115, Magyarország"",13,,Ecsed utca,,Kelenföld,1115,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,1,,,"
"ÉPÍTOK ÚTJA 2-4.,"" BUDAÖRS"",47.4550206,18.9515003,""Futureal, Budaörs, Építők útja 2-4, 2040, Magyarország"",2-4,Futureal,Építők útja,,Ófalu,2040,Budaörs,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KISTÓ UTCA 5.,"" VESZPRÉM"",47.1076204,17.8934315,""Veszprém, Kistó utca 5, 8200, Magyarország"",5,,Kistó utca,,Dózsaváros,8200,Veszprém,,Veszprém,Közép-Dunántúl,,Magyarország,hu,1,,,"
"NÁDASDY UTCA 14.,"" BUDAPEST"",47.4714155,19.07969,""Budapest, Nádasdy utca 14, 1097, Magyarország"",14,,Nádasdy utca,IX. kerület,Középső-Ferencváros,1097,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FRANGEPÁN UTCA 62.,"" BUDAPEST"",46.9851855,18.9274257,""Dunaújváros, Frangepán utca 62, 2400, Magyarország"",62,,Frangepán utca,,Óváros,2400,Dunaújváros,,Fejér vármegye,Közép-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZEKSZÁRDI ÚT 16-18.,"" BUDAPEST"",46.4230225,18.7885226,""Tolna, Szekszárdi út, 7130, Magyarország"",,Szekszárdi út,Szekszárdi út,,,7130,Tolna,,Tolna vármegye,Dél-Dunántúl,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SALAK UTCA 1-39.,"" BUDAPEST"",47.4151261,19.0513314,""Budapest, Salak utca, 1214, Magyarország"",,Salak utca,Salak utca,XXI. kerület,Csepel-Gyártelep,1214,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉCSI UTCA. 5.,"" BUDAPEST"",47.49643385,19.052164149101458,""Budapest, Bécsi utca 5, 1052, Magyarország"",5,,Bécsi utca,V. kerület,Pest,1052,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BAJCSY-ZSILINSZKY ÚT 6.,"" GYOR"",47.39645895,18.909541949999998,""Érd, Bajcsy-Zsilinszky út 6, 2030, Magyarország"",6,,Bajcsy-Zsilinszky út,,Postás-telep,2030,Érd,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"IPAROS U.-ASZFALT. U. HRSZ.: 3204/6,"" ÉRD"",,,,,,,,,,,,,,,,,,,,"
"IPAROS U. - ASZF. U.,"" HRSZ.: 3204/6, ÉRD"",,,,,,,,,,,,,,,,,,,,"
"SZÉCHENYI U. HRSZ.: 170.204/85,"" BUDAPEST"",,,,,,,,,,,,,,,,,,,,"
"SZÉCHENYI U.,"" HRSZ.: 170.204/85, BP."",47.5028233,19.0476452,""Budapest, Széchenyi utca, 1054, Magyarország"",,Széchenyi utca,Széchenyi utca,V. kerület,Lipótváros,1054,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NYÁRFA UTCA 2/B,"" RAJKA"",47.98903425,17.198660946247095,""Rajka, Nyárfa utca 2/B, 9224, Magyarország"",2/B,,Nyárfa utca,,,9224,Rajka,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZÉCHENYI UTCA 16.,"" BALATONFÜRED"",47.418498850000006,19.02932838817639,""Budapest, Széchenyi utca 16, 1222, Magyarország"",16,,Széchenyi utca,XXII. kerület,Budafok,1222,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"EÖTVÖS UTCA 15/1,"" ZAMÁRDI"",46.88528384999999,17.940703138065242,""Hotel Wellamarin, Zamárdi, Eötvös utca 15/1, 8621, Magyarország"",15/1,Hotel Wellamarin,Eötvös utca,,,8621,Zamárdi,,Somogy vármegye,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HUBA UTCA 16.,"" BUDAPEST"",47.42576455,19.032112387544245,""Budapest, Huba utca 16, 1221, Magyarország"",16,,Huba utca,XXII. kerület,Budafok,1221,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"DÓZSA GYÖRGY ÚT 13.,"" GÖDÖLLO"",47.50511845,19.088142537294495,""Budapest, Dózsa György út 13, 1146, Magyarország"",13,,Dózsa György út,XIV. kerület,Istvánmező,1146,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÓZSA UTCA 91-93.,"" BUDAPEST"",47.5102067,19.06553,""Budapest, Rózsa utca 91-93, 1064, Magyarország"",91-93,,Rózsa utca,VI. kerület,Terézváros,1064,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VICTOR HUGO UTCA 11-15.,"" BUDAPEST"",47.5177557,19.0580601,""Budapest, Victor Hugo utca 11-15, 1132, Magyarország"",11-15,,Victor Hugo utca,XIII. kerület,Újlipótváros,1132,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BUD NEMZETKÖZI REPÜLOTÉR,"" BUDAPEST"",47.43527295,19.2535105675693,""Budapest Liszt Ferenc Nemzetközi Repülőtér, Budapest, Somlókert utca, 1182, Magyarország"",,Budapest Liszt Ferenc Nemzetközi Repülőtér,Somlókert utca,XVIII. kerület,Ganzkertváros,1182,Budapest,,,Közép-Magyarország,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VAJDA JÁNOS UTCA 2.,"" VÁL"",47.553987899999996,19.047885548197726,""Budapest, Vajda János utca 2, 1033, Magyarország"",2,,Vajda János utca,III. kerület,Aquincum,1033,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BUDAFOKI ÚT 187-189.,"" BUDAPEST"",47.4551004,19.0515417,""Budapest, Budafoki út 187-189, 1117, Magyarország"",187-189,,Budafoki út,XI. kerület,Kelenföld,1117,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FÁY UTCA 73/A.,"" BUDAPEST"",47.5347425,19.0856068,""Budapest, Fáy utca, 1135, Magyarország"",,Fáy utca,Fáy utca,XIII. kerület,Angyalföld,1135,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KISERDO ÚT,"" HRSZ.: 1731, MOSONMAGYARÓVÁR"",47.8692255,17.2834132,""Mosonmagyaróvár, Kiserdő út, 9200, Magyarország"",,Kiserdő út,Kiserdő út,Móra Ferenc lakótelep,Városközpont,9200,Mosonmagyaróvár,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ÉPÍTÉSZ UTCA 8-12.,"" BUDAPEST"",47.4482562,19.039181250544846,""Budapest, Építész utca 8-12, 1116, Magyarország"",8-12,,Építész utca,XI. kerület,Albertfalva,1116,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SOBIESKI J. UTCA 32.,"" BUDAPEST"",47.4794019,19.083065604694443,""Budapest, Sobieski János utca 27A, 1096, Magyarország"",27A,,Sobieski János utca,IX. kerület,Középső-Ferencváros,1096,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ZÖLDMEZO ÚT 1.,"" ÜLLO"",48.2251021,20.2038501,""Hangony, Zöldmező út, 3626, Magyarország"",,Zöldmező út,Zöldmező út,,,3626,Hangony,,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"K-SPED KRT. 1.,"" ÜLLO"",47.3790877,19.355275845712157,""GreenPort, Üllő, K-Sped körút 1, 2225, Magyarország"",1,GreenPort,K-Sped körút,Sportliget lakópark,,2225,Üllő,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SOBIESKI J. UTCA 30.,"" BUDAPEST"",47.4793162,19.0826329,""Budapest, Sobieski János utca 30, 1096, Magyarország"",30,,Sobieski János utca,IX. kerület,Középső-Ferencváros,1096,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KEMÉNY FERENC SÉTÁNY 2.,"" GYOR"",47.6866242,17.62318761814026,""Győr, Kemény Ferenc sétány 2, 9025, Magyarország"",2,,Kemény Ferenc sétány,,Sziget,9025,Győr,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"LOPORTÁR UTCA 12,"" BUDAPEST"",47.5185794,19.06735394757132,""Budapest, Lőportár utca 12, 1134, Magyarország"",12,,Lőportár utca,XIII. kerület,Angyalföld,1134,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MAKK UTCA 3.,"" BUDAPEST"",47.4735295,19.1176014,""Budapest, Makk utca 3, 1107, Magyarország"",3,,Makk utca,,Budapest IX. kerülete,1107,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,1,,,"
"ARANYHÍD SÉTÁNY 8.,"" BALATONFÜRED"",46.956045,17.9071663,""Neked Főztem Balatonfüred, Balatonfüred, Aranyhíd sétány 8, 8230, Magyarország"",8,Neked Főztem Balatonfüred,Aranyhíd sétány,,Balatonarács,8230,Balatonfüred,,Veszprém vármegye,Közép-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HRSZ.: 995/10 NYÁRFA UTCA 2/C,"" RAJKA"",47.5975561,17.02100846820591,""Kapuvár, Nyárfa utca 10, 9330, Magyarország"",10,,Nyárfa utca,,Városközpont,9330,Kapuvár,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,0.38620689655172413,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NYÁREGYHÁZI ÚT 51.,"" CSÉVHARASZT"",47.2984722,19.4361227,""Csévharaszt, Nyáregyházi út, 2212, Magyarország"",,Nyáregyházi út,Nyáregyházi út,,Csévharaszt,2212,Csévharaszt,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"LOMB UTCA 23-27.,"" BUDAPEST"",47.5376459,19.0709667,""Budapest, Lomb utca 25, 1139, Magyarország"",25,,Lomb utca,,Angyalföld,1139,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.7,,,"
"ÁGNES ÚT 24.,"" BUDAPEST"",47.488814250000004,18.992268297957374,""Budapest, Ágnes út 24, 1121, Magyarország"",24,,Ágnes út,XII. kerület,Széchenyihegy,1121,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"IPARI PARK 3.,"" RÉTSÁG"",47.58674285,18.764204750156,""B'rent, Perbál, Ipari park 3, 2074, Magyarország"",3,B'rent,Ipari park,,B'rent,2074,Perbál,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZILÁGYI DEZSO TÉR 6.,"" BUDAPEST"",47.503251,19.0389244,""Budapest, Szilágyi Dezső tér 6, 1011, Magyarország"",6,,Szilágyi Dezső tér,I. kerület,Buda,1011,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GIZELLA-TELEP,"" VISEGRÁD"",47.2560536,19.0626701,""Délegyháza, Gizella telep, 2337, Magyarország"",,Gizella telep,Gizella telep,,,2337,Délegyháza,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÁSZ UTCA 80.,"" BUDAPEST"",47.5366017,19.0864907,""Budapest, Jász utca 80, 1135, Magyarország"",80,,Jász utca,XIII. kerület,Angyalföld,1135,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FÁY KÖZ 8.,"" BUDAPEST"",47.53479348,19.089171,""Budapest, Fáy köz 8, 1135, Magyarország"",8,,Fáy köz,XIII. kerület,Angyalföld,1135,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"LEHEL VEZÉR TÉR 30.,"" JÁSZBERÉNY"",47.5017701,19.9138025,""Jászberény, Lehel vezér tér 30, 5100, Magyarország"",30,,Lehel vezér tér,,,5100,Jászberény,,Jász-Nagykun-Szolnok,Észak-Alföld,,Magyarország,hu,1,,,"
"RÓNA UTCA 89.,"" BUDAPEST"",47.5110957,19.11624454373589,""Budapest, Róna utca 89, 1149, Magyarország"",89,,Róna utca,XIV. kerület,Nagyzugló,1149,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ALSÓ ERDOSOR UTCA 14-16.,"" BUDAPEST"",47.5426641,19.4029736,""Isaszeg, Alsó Erdősor utca, 2117, Magyarország"",,Alsó Erdősor utca,Alsó Erdősor utca,,,2117,Isaszeg,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CINEGE UTCA 8/C,"" BUDAPEST"",47.6101569,18.9336906,""Pilisvörösvár, Cinege utca, 2085, Magyarország"",,Cinege utca,Cinege utca,,,2085,Pilisvörösvár,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉCSI ÚT 250.,"" BUDAPEST"",47.56084425,19.023777847932895,""Budapest, Bécsi út 250, 1037, Magyarország"",250,,Bécsi út,III. kerület,Óbuda hegyvidéke,1037,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZÁZADOS ÚT 26.,"" BUDAPEST"",47.4931111,19.1080584,""Budapest, Százados út 26, 1087, Magyarország"",26,,Százados út,VIII. kerület,Százados negyed,1087,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÖRÖK FLÓRIS UTCA 227-229.,"" BUDAPEST"",47.4270548,19.1208538,""AVKF Budapesti Campus, Budapest, Török Flóris utca 227-229, 1201, Magyarország"",227-229,AVKF Budapesti Campus,Török Flóris utca,XX. kerület,Pacsirtatelep,1201,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ALVINCI ÚT 6.,"" BUDAPEST"",47.5145958,19.0188813,""Budapest, Alvinci út 6, 1022, Magyarország"",6,,Alvinci út,,Buda,1022,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,1,,,"
"ÁRVAVÁR UTCA 1.,"" BUDAPEST"",47.5351196,19.115958574525116,""Csodavár Budapest, Budapest, Árvavár utca 1, 1158, Magyarország"",1,Csodavár Budapest,Árvavár utca,XV. kerület,Pestújhely,1158,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ALÍZ UTCA 4. HRSZ.: 3990/11,"" BUDAPEST"",,,,,,,,,,,,,,,,,,,,"
"MÁRTON UTCA 33.,"" BUDAPEST"",47.48015815,19.082014251157915,""Budapest, Márton utca 33, 1094, Magyarország"",33,,Márton utca,IX. kerület,Középső-Ferencváros,1094,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ARADI UTCA 61.,"" BUDAPEST"",47.5110376,19.0704693,""Budapest, Aradi utca 61, 1062, Magyarország"",61,,Aradi utca,VI. kerület,Terézváros,1062,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TEMPLOM TÉR 3.,"" ÜLLO"",46.21943254999999,20.196619906606564,""Szeged, Templom tér 3, 6771, Magyarország"",3,,Templom tér,,Marostői kiskertek,6771,Szeged,,Csongrád-Csanád vármegye,Dél-Alföld,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
